txn_id,src_hash,dest_hash,src_bank,dest_bank,amount,currency,txn_type,label,ip_address,src_city,src_state,timestamp,risk_score,crime_type,flagged,zero_retention,forwarded_in_seconds
TXN000000,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,f7085e753da9aedeb2565378cf9a7d5fb5d9e7bc249c613ef3431bf0630d7624,SBI,SBI,38304,INR,NEFT,Petrol,203.88.109.9,Visakhapatnam,Andhra Pradesh,2025-12-19T18:30:55.461715,0,,False,False,
TXN000001,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,44d9ab7c2709c94c46d6bf4202fc55897311f9ee6037c5fc4f0a55b8c66e6139,SBI,SBI,19152,INR,NEFT,Electricity Bill,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-01-30T17:32:55.461746,0,,False,False,
TXN000002,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,86d99764dbeb5940dcbd45a29a935c28ab4e741902c4ec9469f412c544782d71,SBI,ICICI,48768,INR,NEFT,Online Shopping,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-03-03T02:25:55.461759,0,,False,False,
TXN000003,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,6f353482e4cec0285192c8339b8afed72a5f5f6ad6805712040e6f6fb99f8d10,SBI,HDFC,30892,INR,NEFT,Insurance Premium,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-02-23T09:24:55.461770,0,,False,False,
TXN000004,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,f9de178277d8725691cb8e76000fd85c4991e33509bbf17322677efc33e91460,SBI,PNB,22611,INR,NEFT,Mobile Recharge,203.88.109.9,Visakhapatnam,Andhra Pradesh,2025-12-22T19:28:55.461809,0,,False,False,
TXN000005,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,45f67d9b0bc092da5cce81bf2377c1048072617868accc5ab97af5d1dd284ba1,SBI,ICICI,5175,INR,NEFT,EMI Payment,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-02-21T04:50:55.461822,0,,False,False,
TXN000006,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,cda5dfc9ebc35fb15e7d5beed53ad9dfea3dd100377f8fba3b5332ceef87377c,SBI,HDFC,21266,INR,NEFT,Insurance Premium,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-02-03T16:47:55.461831,0,,False,False,
TXN000007,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,9b296b3a87560512a37bc2b6051e420cd8c68732299ec65541c2f341651013bf,SBI,Axis,42747,INR,NEFT,Mobile Recharge,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-02-07T00:15:55.461840,0,,False,False,
TXN000008,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,c2f51d9c037874e0310af904d820360646bb3615abab767a45d0505499705804,SBI,HDFC,49514,INR,NEFT,Petrol,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-01-06T00:38:55.461855,0,,False,False,
TXN000009,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,cf9b1d42705e3bee214b54904cbdae614fa5f1f6f8c7b24255c16d715fe2bc27,SBI,SBI,12551,INR,NEFT,Rent,203.88.109.9,Visakhapatnam,Andhra Pradesh,2026-03-11T10:18:55.461871,0,,False,False,
TXN000010,e7a55b7805e243627a96a5046122ae6aac7ee82f779225c1071b184c3f718e48,0a1151eca559abddbc80d06cc1ffaca3685a133b33f34550fa09b61f17b7d393,SBI,HDFC,43886,INR,NEFT,School Fees,203.88.109.9,Visakhapatnam,Andhra Pradesh,2025-12-13T15:59:55.461886,0,,False,False,
